year,genre,name,rating,budget,PF
2010.18181818182,comedy,20,5.31545454545455,3623863636.36364,-0.116363636363636
2010.27272727273,comedy,20,5.23818181818182,3657045454.54545,-0.114545454545455
2010.36363636364,comedy,20,5.16090909090909,3690227272.72727,-0.112727272727273
2010.45454545455,comedy,20,5.08363636363636,3723409090.90909,-0.110909090909091
2010.54545454545,comedy,20,5.00636363636364,3756590909.09091,-0.109090909090909
2010.63636363636,comedy,20,4.92909090909091,3789772727.27273,-0.107272727272727
2010.72727272727,comedy,20,4.85181818181818,3822954545.45455,-0.105454545454545
2010.81818181818,comedy,20,4.77454545454545,3856136363.63636,-0.103636363636364
2010.90909090909,comedy,20,4.69727272727273,3889318181.81818,-0.101818181818182
2010,drama,27,6.24,4077000000,-0.32
2010.09090909091,drama,27,6.19272727272727,4109090909.09091,-0.334545454545455
2010.18181818182,drama,27,6.14545454545455,4141181818.18182,-0.349090909090909
2010.27272727273,drama,27,6.09818181818182,4173272727.27273,-0.363636363636364
2010.36363636364,drama,27,6.05090909090909,4205363636.36364,-0.378181818181818
2010.45454545455,drama,27,6.00363636363636,4237454545.45455,-0.392727272727273
2010.54545454545,drama,27,5.95636363636364,4269545454.54545,-0.407272727272727
2010.63636363636,drama,27,5.90909090909091,4301636363.63636,-0.421818181818182
2010.72727272727,drama,27,5.86181818181818,4333727272.72727,-0.436363636363636
2010.81818181818,drama,27,5.81454545454545,4365818181.81818,-0.450909090909091
2010.90909090909,drama,27,5.76727272727273,4397909090.90909,-0.465454545454546
2010,love_story,4,4.48,555000000,0.11
2010.09090909091,love_story,4,4.57363636363636,589545454.545454,0.057272727272727
2010.18181818182,love_story,4,4.66727272727273,624090909.090909,0.004545454545455
2010.27272727273,love_story,4,4.76090909090909,658636363.636364,-0.048181818181818
2010.36363636364,love_story,4,4.85454545454545,693181818.181818,-0.100909090909091
2010.45454545455,love_story,4,4.94818181818182,727727272.727273,-0.153636363636364
2010.54545454545,love_story,4,5.04181818181818,762272727.272727,-0.206363636363636
2010.63636363636,love_story,4,5.13545454545455,796818181.818182,-0.259090909090909
2010.72727272727,love_story,4,5.22909090909091,831363636.363636,-0.311818181818182
2010.81818181818,love_story,4,5.32272727272727,865909090.909091,-0.364545454545455
2010.90909090909,love_story,4,5.41636363636364,900454545.454546,-0.417272727272727
2010,rom__com,10,5.68,1887500000,-0.01
2010.09090909091,rom__com,10,5.74818181818182,1764772727.27273,0.023636363636364
2010.18181818182,rom__com,10,5.81636363636364,1642045454.54545,0.057272727272727
2010.27272727273,rom__com,10,5.88454545454545,1519318181.81818,0.090909090909091
2010.36363636364,rom__com,10,5.95272727272727,1396590909.09091,0.124545454545455
2010.45454545455,rom__com,10,6.02090909090909,1273863636.36364,0.158181818181818
2010.54545454545,rom__com,10,6.08909090909091,1151136363.63636,0.191818181818182
2010.63636363636,rom__com,10,6.15727272727273,1028409090.90909,0.225454545454545
2010.72727272727,rom__com,10,6.22545454545455,905681818.181818,0.259090909090909
2010.81818181818,rom__com,10,6.29363636363636,782954545.454546,0.292727272727273
2010.90909090909,rom__com,10,6.36181818181818,660227272.727273,0.326363636363636
2010,thriller,11,5.01,2707500000,-0.54
2010.09090909091,thriller,11,5.10727272727273,2647500000,-0.452727272727273
2010.18181818182,thriller,11,5.20454545454545,2587500000,-0.365454545454545
2010.27272727273,thriller,11,5.30181818181818,2527500000,-0.278181818181818
2010.36363636364,thriller,11,5.39909090909091,2467500000,-0.190909090909091
